"State","Year.Month","Report.Number"
"DC","2013-12",0
"DC","2014-01",0
"DC","2014-02",0
"DC","2014-03",0
"DC","2014-04",0
"DC","2014-05",0
"DC","2014-06",0
"DC","2014-07",0
"DC","2014-08",0
"DC","2014-09",1
"DC","2014-10",0
"DC","2014-11",0
"DC","2014-12",0
"DC","2015-01",0
"DC","2015-02",1
"DC","2015-03",1
"DC","2015-04",0
"DC","2015-05",1
"DC","2015-06",1
"DC","2015-07",0
"DC","2015-08",1
"DC","2015-09",1
"DC","2015-10",0
"DC","2015-11",1
"DC","2015-12",0
"DC","2016-01",0
"DC","2016-02",0
"DC","2016-03",0
"DC","2016-04",0
"DE","2005-01",0
"DE","2005-02",1
"DE","2005-03",1
"DE","2005-04",2
"DE","2005-05",1
"DE","2005-06",4
"DE","2005-07",0
"DE","2005-08",4
"DE","2005-09",3
"DE","2005-10",0
"DE","2005-11",3
"DE","2005-12",0
"DE","2006-01",1
"DE","2006-02",2
"DE","2006-03",5
"DE","2006-04",2
"DE","2006-05",1
"DE","2006-06",2
"DE","2006-07",2
"DE","2006-08",2
"DE","2006-09",2
"DE","2006-10",0
"DE","2006-11",2
"DE","2006-12",0
"DE","2007-01",0
"DE","2007-02",2
"DE","2007-03",3
